#,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Projections

,USA Total,"5,611,975","+40,560","173,716",+589,"2,973,587","2,464,672","16,954",525,"71,687,781","216,578",, 
1,California ,"635,070 ","+6,925 ","11,343 ",+99 ,"257,281 ","366,446 ","16,073",287,"9,933,780 ","251,410","39,512,223 ",[projections]
2,Florida ,"576,094 ","+2,678 ","9,541 ",+83 ,"55,479 ","511,074 ","26,823",444,"4,259,573 ","198,325","21,477,737 ",[projections]
3,Texas ,"571,617 ","+6,446 ","10,120 ",+117 ,"405,817 ","155,680 ","19,714",349,"4,845,105 ","167,096","28,995,881 ",[projections]
4,New York ,"456,118 ",+520 ,"32,920 ",+10 ,"355,500 ","67,698 ","23,447","1,692","7,125,087 ","366,261","19,453,561 ",[projections]
5,Georgia ,"238,861 "," +1,831 ","4,727 ",+25 ,"40,451 ","193,683 ","22,497",445,"2,285,164 ","215,228","10,617,423 ",[projections]
6,Illinois ,"209,186 ","+1,773 ","7,967 ",+12 ,"147,364 ","53,855 ","16,508",629,"3,405,097 ","268,714"," 12,671,821 ",[projections]
7,Arizona ,"194,005 ",+468 ,"4,506 ", ,"27,800 ","161,699 ","26,654",619,"1,349,757 ","185,439","7,278,717 ",[projections]
8,New Jersey ,"193,645 ",+425 ,"16,021  ",+31 ,"157,674 ","19,950 ","21,801","1,804","2,511,070 ","282,708","8,882,190 ",[projections]
9,North Carolina ,"145,994 ",+425 ,"2,377 ",+1 ,"127,749 ","15,868 ","13,920",227,"1,935,742 ","184,566","10,488,084 ", [projections]
10,Louisiana ,"138,485 ",+567 ,"4,526 ",+19 ,"103,512 ","30,447 ","29,789",974,"1,674,289 ","360,156","4,648,794 ",[projections]
11,Tennessee ,"134,744 ","+1,036 ","1,387 ",+21  ,"94,812 ","38,545 ","19,731",203,"1,868,761 ","273,644","6,829,174 ",[projections]
12,Pennsylvania ,"129,686 ",+611 ,"7,557 ",+3 ,"98,626 ","23,503 ","10,130",590,"1,463,829 ","114,344","12,801,989 ",[projections] 
